abandonner;abandon
capacité;ability
capable;able
à propos de;about
au-dessus;above
à l'étranger;abroad
absolu;absolute
absolument;absolutely
académique;academic
accepter;accept
acceptable;acceptable
accès;access
accident;accident
accompagner;accompany
selon;according to
compte;account
précis;accurate
accuser;accuse
atteindre;achieve
réalisation;achievement
reconnaître;acknowledge
acquérir;acquire
à travers;across
agir;act
action;action
actif;active
activité;activity
acteur;actor
actrice;actress
réel;actual
en fait;actually
publicité;ad
adapter;adapt
ajouter;add
ajout;addition
supplémentaire;additional
adresse;address
administration;administration
admirer;admire
admettre;admit
adopter;adopt
adulte;adult
avancer;advance
avancé;advanced
avantage;advantage
aventure;adventure
faire de la publicité;advertise
annonce;advertisement
publicité;advertising
conseil;advice
conseiller;advise
affaire;affair
affecter;affect
se permettre;afford
effrayé;afraid
après;after
après-midi;afternoon
ensuite;afterward
encore;again
contre;against
âge;age
agence;agency
ordre du jour;agenda
agent;agent
agressif;aggressive
il y a;ago
être d'accord;agree
accord;agreement
ah;ah
devant;ahead
aide;aid
viser;aim
air;air
avion;aircraft
compagnie aérienne;airline
aéroport;airport
